id;Kanji;Strokes;JLPT-test;"Reading within Joyo";"Translation of On"
1219;早;6;4;ソウ、[サッ]、はや-い、はや-まる、はや-める;"quick, fast, speedy; brisk, prompt; early; premature"
1220;争;6;3;ソウ、あらそ-う;"dispute, argue; be at variance; compete"
1221;走;7;4;ソウ、はし-る;"run, rush, flee; turn to, become; go to excess"
1223;相;9;3;ソウ、ショウ、あい;"aspect, phase, physiognomy. minister of state, councilor"
1225;草;9;3;ソウ、くさ;"grass; grass hand (writing); weeds; herbs, plants, pasture"
1226;送;9;4;ソウ、おく-る;sending
1236;窓;11;3;ソウ、まど;window
1243;想;13;3;ソウ、[ソ];"idea, conception, thought"
1256;増;14;3;ゾウ、ま-す、ふ-える、ふ-やす;increase
1262;束;7;3;ソク、たば;"bundle, sheaf, ream (of paper)"
1263;足;7;4;ソク、あし、た-りる、た-る、た-す;"foot; leg; counter for pairs of footwear"
1266;息;10;3;ソク、いき;"son; interest (on money)"
1268;速;10;3;ソク、はや-い、はや-める、はや-まる、すみ-やか;"speedy, prompt, swift"
1269;側;11;3;ソク、がわ;"lean to one side, oppose, look aside, regret"
1272;族;11;4;ゾク;"family, relatives, clan, tribe, race"
1275;続;13;3;ゾク、つづ-く、つづ-ける;"continuation, second series"
1278;存;6;3;ソン、ゾン;"know, be aware of, be acquainted with; think, believe, feel"
1284;他;5;3;タ、ほか;"another, the other, others, another thing; the rest; another place"
1285;多;6;4;タ、おお-い;much
1287;打;5;3;ダ、う-つ;striking
1293;太;4;3;タイ、タ、ふと-い、ふと-る;"get fat, gain, fill out"
1294;対;7;3;タイ、ツイ;"the opposite; antonym; even, equal; versus; (score of three) to (one); counter-, anti-, versus. pair, couple, set "
1295;体;7;4;タイ、テイ、からだ;"the body; substance, object; reality; style, form; image counter. appearance, air; condition, state"
1297;待;9;4;タイ、ま-つ;waiting
1300;退;9;3;タイ、しりぞ-く、しりぞ-ける;"retreat, withdraw; retire, resign"
1307;貸;12;4;タイ、か-す;"lend; hire out, rent, lease; give credit to "
1312;大;3;5;ダイ、タイ、おお、おお-きい、おお-いに;"large, huge, grand; the greater; size; very; inveterate (smoker); severe (damage); success"
1313;代;5;4;ダイ、タイ、か-わる、か-える、よ、しろ;"period, age, generation; charge, rate, fee, cost, price"
1314;台;5;4;ダイ、タイ;"stand, pedestal, rack, table, dais, bench, block; holder, support; mounting, setting"
1316;題;18;4;ダイ;"subject, theme, topic; title, caption, heading; question, problem"
1318;宅;6;3;タク;"home, house, residence; our home; my husband"
1328;達;12;3;タツ;"reach, arrive at, attain; amount to; become expert, be versed in; accomplish; notify"
1336;単;9;3;タン;"one, single, simple, singular, individual"
1339;探;11;3;タン、さぐ-る、さが-す;"search, look for; explore; spy upon, sound out; probe (a wound)"
1348;男;7;5;ダン、ナン、おとこ;"man, male; baron. counter for sons"
1349;段;9;3;ダン;"steps, stair, flight of stairs; column; paragraph; act, scene; case, question; grade, class, rank, level; degree, extent "
1350;断;11;3;ダン、た-つ、ことわ-る;"decision, judgment; cutting"
1353;談;15;3;ダン;"conversation, talk"
1355;地;6;4;チ、ジ;"earth, land, ground, the surface of the earth; soil; place, region; territory; room, space; position; site; foundation. texture, weave, fabric; field (of a flag); disposition; respectability; accompaniment; narrative part; fact"
1357;知;8;4;チ、し-る;"know, acquaintance, sense"
1358;値;10;3;チ、ね、あたい;"price, cost, value"
1359;恥;10;3;チ、は-じる、はじ、は-じらう、は-ずかしい;"shame, dishonor, disgrace, humiliation, insult "
1361;遅;12;3;チ、おく-れる、おく-らす、おそ-い;"be late, be delayed, be overdue; lag behind; (clocks) lose"
1364;置;13;3;チ、お-く;"place, put, set, deposit, lay; leave behind; keep, have, leave; establish; employ; appoint; post, station; pawn; skip (one day). be formed (dew)"
1373;茶;9;4;チャ、サ;"tea; tea plant; tea leaves, light brown"
1374;着;12;4;チャク、[ジャク]、き-る、き-せる、つ-く、つ-ける;"arrival, finish (in a race); race counter "
1376;中;4;5;チュウ、[ジュウ]、なか;"center, middle; middle (course); (golden) mean; medium, mediocrity, average; second volume (of three) "
1383;注;8;4;チュウ、そそ-ぐ;"notes, comment; N.B."
1384;昼;9;4;チュウ、ひる;"daytime, midday"
1396;町;7;4;チョウ、まち;"town; block; street; 2.45 acres; 119 yards"
1397;長;8;5;チョウ、なが-い;"head, chief, headman, commander, director, manager; merit, forte, advantage; superiority; length "
1404;頂;11;3;チョウ、いただ-く、いただき;"head; top of the head; top, summit, peak; spire "
1405;鳥;11;4;チョウ、とり;bird
1406;朝;12;4;チョウ、あさ;"dynasty; reign, regime; period, epoch; the court "
1415;調;15;3;チョウ、しら-べる、ととの-う、ととの-える;"tune, tone, meter; key (in music); style of writing; tax in kind "
1418;直;8;3;チョク、ジキ、ただ-ちに、なお-す、なお-る;"honesty, frankness; simplicity; correctness; being straight; night duty "
1427;追;9;3;ツイ、お-う;"drive away; chase; drive (cattle); follow, persue (pleasure)"
1430;通;10;4;ツウ、[ツ]、とお-る、とお-す、かよ-う;"pass; expert"
1431;痛;12;3;ツウ、いた-い、いた-む、いた-める;pain
1440;弟;7;4;テイ、[ダイ]、[デ]、おとうと;"younger brother, faithful service to those older; brotherly affection"
1441;定;8;3;テイ、ジョウ、さだ-める、さだ-まる、さだ-か;"deciding. be decided, be settled, quiet down"
1449;庭;10;3;テイ、にわ;"yard, courtyard, garden"
1455;程;12;3;テイ、ほど;"degree; law; formula; distance"
1460;的;8;4;テキ、まと;"mark, target; object; the point. adjective ending"
1464;適;14;3;テキ;suitable
1472;天;4;5;テン、あめ、[あま];"sky, air, heavens, celestial sphere, firmament; heaven, Providence, God, Nature; destiny; weather; top; beginning "
1474;店;8;4;テン、みせ;"shop, store"
1475;点;9;3;テン;"point; mark; score, run; speck; stain; defect; a detail; standpoint; items, pieces; decimal point; vote"
1478;転;11;4;テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ;"turn, remove, change"
1480;田;5;4;デン、た;"rice field, paddy field"
1481;伝;6;3;デン、つた-わる、つた-える、つた-う;"legend, tradition; life, biography; commentary; communicating "
1483;電;13;5;デン;electricity
1487;徒;10;3;ト;"party, set, gang, companions; people"
1488;途;10;3;ト;"way, road"
1489;都;11;3;ト、ツ、みやこ;"capital, metropolis"
1490;渡;12;3;ト、わた-る、わた-す;"cross, ford, ferry; be imported; change hands; make one's way through life; sweep across; migrate; be provided "
1493;土;3;5;ド、ト、つち;"earth, ground; Saturday; Turkey"
1495;努;7;3;ド、つと-める;"serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of) "
1496;度;9;4;ド、[ト]、[タク]、たび;"degree; extent, measure, limit; a time; graduation, scale; composure. save, redeem, reclaim "
1497;怒;9;3;ド、いか-る、おこ-る;"become angry, be offended, become excited "
1499;冬;5;4;トウ、ふゆ;winter
1501;当;6;3;トウ、あ-たる、あ-てる;"right, appropriateness, fairness; himself; itself; at the time "
1502;投;7;3;トウ、な-げる;throw
1504;東;8;5;トウ、ひがし;east
1505;到;8;3;トウ;"go, proceed, come; arrive, reach, attain; result in, lead to "
1506;逃;9;3;トウ、に-げる、に-がす、のが-す、のが-れる;"flee, run away, escape; shirk, evade, back out "
1507;倒;10;3;トウ、たお-れる、たお-す;"fall, collapse, drop; break down, die, succumb to; fall senseless; be ruined; have a bad debt "
1516;盗;11;3;トウ、ぬす-む;thief
1523;登;12;3;トウ、ト、のぼ-る;"rise, ascend, go up, climb; go to (the capital); add up to; be promoted; advance (in price); sail up; come up (on the agenda) "
1524;答;12;4;トウ、こた-える、こた-え;answer
1525;等;12;3;トウ、ひと-しい;"class, grade, degree"
1531;頭;16;3;トウ、ズ、[ト]、あたま、かしら;"head, counter for large mammals"
1536;同;6;4;ドウ、おな-じ;"the same, the said, ibid"
1539;動;11;4;ドウ、うご-く、うご-かす;"motion; change; confusion"
1540;堂;11;4;ドウ;"temple; shrine; hall; reception room; firm; state chamber. shop, store"
1542;道;12;4;ドウ、[トウ]、みち;"district, province, prefecture; road  "
1543;働;13;3;ドウ、はたら-く;"work, labor; do, act, commit, practice; work on; come into play; be conjugated; reduce the price "
1549;特;10;4;トク;special
1550;得;11;3;トク、え-る、う-る;"profit, advantage, benefit"
1556;読;14;5;ドク、トク、[トウ]、よ-む;reading
1559;突;8;3;トツ、つ-く;"protruding, thrusting"
1570;内;4;3;ナイ、[ダイ]、うち;"inside, interior, within, between, among. within, within the scope of "
1574;南;9;5;ナン、[ナ]、みなみ;south
1576;難;18;3;ナン、かた-い、むずか-しい;"trouble, difficulty; accident, disaster; defect; criticism "
1577;二;2;5;ニ、ふた、ふた-つ;"two, second"
1581;肉;6;4;ニク;"flesh, muscles; meat; the flesh; seal pad, ink pad; thickness, succulence "
1583;日;4;5;ニチ、ジツ、ひ、か;"day; Sunday"
1584;入;2;5;ニュウ、い-る、い-れる、はい-る;"go in, come in; flow into; set; set in "
1587;任;6;3;ニン、まか-せる、まか-す;"duty, responsibility; office; mission; term "
1590;認;14;3;ニン、みと-める;"witness; sight; discern, authorize, recognize; appreciate; approve of; judge, conclude; believe; regard as "
1592;熱;15;3;ネツ、あつ-い;"heat, warmth; temperature; fever; mania, fad; enthusiasm; passion "
1593;年;6;5;ネン、とし;"year; term of service"
1594;念;8;3;ネン;"sense, idea, thought; feeling; desire; concern, attention, care "
1600;能;10;3;ノウ;"ability, talent, skill, capacity; noh play, classical drama"
1607;破;10;3;ハ、やぶ-る、やぶ-れる;"tear, rip, rend; break, crush, destroy; violate, transgress; defeat; baffle, frustrate "
1609;馬;10;3;バ、うま、[ま];horse
1613;杯;8;3;ハイ、さかずき;"cup, glass; toast, congratulatory cup; counter for cupfuls "
1614;背;9;3;ハイ、せ、せい、そむ-く、そむ-ける;"back, behind"
1617;配;10;3;ハイ、くば-る;"distribute; spouse; exile; rationing"
1619;敗;11;3;ハイ、やぶ-れる;"defeat, reversal"
1622;売;7;4;バイ、う-る、う-れる;selling
1628;買;12;4;バイ、か-う;buying
1630;白;5;5;ハク、ビャク、しろ、[しら]、しろ-い;white
1643;箱;15;3;はこ;-
1647;八;2;5;ハチ、や、や-つ、やっ-つ、[よう];eight
1649;発;9;4;ハツ、ホツ;"departure; discharge (of a gun)"
1650;髪;14;3;ハツ、かみ;"the hair"
1652;抜;7;3;バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる;"extract, unlock, pull out; root up; unsheathe; pilfer; quote; remove; omit; capture; outrun; shoot through"
1655;反;4;3;ハン、[ホン]、[タン]、そ-る、そ-らす;"antithesis, opposite, antagonism; anti-. roll of cloth (c. 10yds.); .245 acres, 300 tsubo"
1656;半;5;5;ハン、なか-ば;"half; odd number; semi-, hemi-, demi-"
1658;犯;5;3;ハン、おか-す;"offense, crime; counter for criminal offenses "
1662;判;7;3;ハン、バン;"stamp, seal; a monogram signature; judgment"
1664;阪;7;3;ハン;slope
1672;飯;12;4;ハン、めし;"cooked rice; meal; food"
1679;晩;12;3;バン;"evening, night; the end of all things; late"
1680;番;12;3;バン;"watch, guard; duty; number; order; size, game, round, turn, bout"
1686;否;7;3;ヒ、いな;"no, noes"
1688;彼;8;3;ヒ、かれ、[かの];"he; that"
1691;非;8;3;ヒ;"mistake; misdeed; injustice; wrong; non-, un-, anti-"
1693;飛;9;3;ヒ、と-ぶ、と-ばす;"fly; skip (pages)"
1694;疲;10;3;ヒ、つか-れる;"get tired, grow weary "
1697;悲;12;3;ヒ、かな-しい、かな-しむ;"grieve, be sad, deplore, mourn for, regret "
1699;費;12;3;ヒ、つい-やす、つい-える;"expenses, cost"
1705;美;9;3;ビ、うつく-しい;"beauty, grace, charm"
1706;備;12;3;ビ、そな-える、そな-わる;"be furnished with, be endowed with, possess; be among, be one of "
1712;必;5;3;ヒツ、かなら-ず;certainly
1716;百;6;5;ヒャク;"hundred; a great number; all"
1718;表;8;3;ヒョウ、おもて、あらわ-す、あらわ-れる;"table, schedule, diagram, chart, list "
1726;病;10;4;ビョウ、[ヘイ]、や-む、やまい;"get sick, be sick, suffer from "
1728;猫;11;3;ビョウ、ねこ;cat
1729;品;9;4;ヒン、しな;"refinement, dignity; article "
1731;貧;11;3;ヒン、ビン、まず-しい;poverty
1736;不;4;4;フ、ブ;"negation; bad; clumsy; ugly"
1737;夫;4;3;フ、[フウ]、おっと;"husband; man"
1738;父;4;5;フ、ちち;father
1739;付;5;3;フ、つ-ける、つ-く;"give to, submit to, refer to; affix, attach, append "
1743;怖;8;3;フ、こわ-い;"fear, be frightened; be timid; get nervous "
1747;負;9;3;フ、ま-ける、ま-かす、お-う;"negative, minus; minus sign "
1749;浮;10;3;フ、う-く、う-かれる、う-かぶ、う-かべる;"float, be floated, rise to the surface; be cheered up; be set on edge, feel loose (teeth); be left over, be saved "
1750;婦;11;3;フ;"woman; wife; bride"
1752;富;12;3;フ、[フウ]、と-む、とみ;enrich
1761;部;11;3;ブ;"department, bureau, section; faculty; division, class, category; part, portion, region; copy, volume, set"
1762;舞;15;3;ブ、ま-う、まい;"dance; flutter about, flit; circle, wheel "
1764;風;9;4;フウ、[フ]、かぜ、[かざ];"wind; air, look, appearance, bearing, mien, deportment; manners, custom; trend, tone, tendency; way, fashion, manner; style, type; disposition, turn of mind; kind; vein; state, condition "
1766;服;8;4;フク;"dress, costume, clothes, garment, suit, uniform"
1770;福;13;3;フク;"fortune, blessing, luck, wealth; food which has been offered to gods"
1771;腹;13;3;フク、はら;"belly, stomach "
1774;払;5;3;フツ、はら-う;"clear out, sweep away, wipe off, brush off, drive away, banish; prune; parry; pay; dispose of; wield (a sword) sideways; show interest in "
1777;物;8;4;ブツ、モツ、もの;"thing, object, matter; somebody, something, success; reason "
1785;分;4;5;ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ;"dividing; part, segment; share; ration; rate; degree; one's lot, one's status; relation; duty; kind, lot. a minute of time; one-sixtieth of a degree; one-tenth of a momme. rate, part, percentage; one percent; thickness; odds; chance of winning; one-tenth of a shaku; one quarter of a ryo "
1786;文;4;4;ブン、モン、ふみ;"1/100 of a hyakume; crest; figures. literary text, production, composition; sentence; style; literature, art; the pen; civil affairs; decoration; characters; elegance "
1787;聞;14;5;ブン、モン、き-く、き-こえる;"hear, listen to; learn of; inquire; follow advice "
1789;平;5;3;ヘイ、ビョウ、たい-ら、ひら;"level, peaceful"
1795;閉;11;3;ヘイ、と-じる、と-ざす、し-める、し-まる;"shut, close"
1801;米;6;3;ベイ、マイ、こめ;"rice, U.S.A."
1805;別;7;4;ベツ、わか-れる;"divide, split, separate; isolate; distribute, share; distinguish; spare "
1809;返;7;3;ヘン、かえ-す、かえ-る;answer
1810;変;9;3;ヘン、か-わる、か-える;"change; accident, calamity; uprising; something strange "
1815;便;9;3;ベン、ビン、たよ-り;"convenience, facility; excreta, stools; evacuation. chance; mail, letter "
1816;勉;10;4;ベン;"serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of) "
1817;歩;8;4;ホ、ブ、[フ]、ある-く、あゆ-む;"step, pace; foot soldier. rate, six feet square, tsubo; change of winning. pawn (in Japanese chess) "
1820;捕;10;3;ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる;"catch, arrest, capture "
1823;母;5;5;ボ、はは;"mother; cause; motive"
1827;暮;14;3;ボ、く-れる、く-らす;"live, make a living; spend (one's time) "
1829;方;4;4;ホウ、かた;"direction, way; side; part; square; way, method, means, scheme, process "
1835;抱;8;3;ホウ、だ-く、いだ-く、かか-える;"hug, embrace, hold in the arms; sit (on eggs) "
1836;放;8;3;ホウ、はな-す、はな-つ、はな-れる、ほう-る;"set free, release, fire, shoot; circulate (rumors); emit, give out; set fire to; banish "
1837;法;8;3;ホウ、[ハッ]、[ホッ];"law, rule, principle; legislation, regulation; code; method, way, model, manner, system, process, art, technique; rites, religion, doctrine; reason; mood (of verbs) "
1845;訪;11;3;ホウ、おとず-れる、たず-ねる;"visit, call on"
1846;報;12;3;ホウ、むく-いる;"news, report; reward, retribution "
1852;亡;3;3;ボウ、[モウ]、な-い;"my late, the late; dying; being destroyed "
1854;忙;6;3;ボウ、いそが-しい;"busy, occupied"
1857;忘;7;3;ボウ、わす-れる;"forget; be forgetful of; forget about; forget (an article)"
1865;望;11;3;ボウ、モウ、のぞ-む;"full moon; hope"
1875;北;5;5;ホク、きた;north
1876;木;4;5;ボク、モク、き、[こ];"tree, Thursday"
1886;本;5;5;ホン、もと;"book; this, the same, the present, the current; main; true; real; regular, normal; counter for long things "
1895;毎;6;5;マイ;"each, every, at an interval of, whenever. Apiece"
1896;妹;8;4;マイ、いもうと;"younger sister"
1904;末;5;3;マツ、バツ、すえ;"end; powder"
1906;万;3;5;マン、バン;"ten thousand; myriad. fully; if by any chance"
1907;満;12;3;マン、み-ちる、み-たす;"fullness, enough; pride. full, fully, fulfillment; a full (year); a full (five years) "
1910;未;5;3;ミ;"not yet. un-, not"
1911;味;8;4;ミ、あじ、あじ-わう;"taste, flavor, dash; touch, tinge; counter for foods and drinks  "
1918;民;5;3;ミン、たみ;"people, nation, subjects"
1919;眠;10;3;ミン、ねむ-る、ねむ-い;sleep
1921;務;11;3;ム、つと-める、つと-まる;"serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of) "
1923;夢;13;3;ム、ゆめ;"dream, vision; illusion, delusion; reverie"
1925;娘;10;3;むすめ;-
1926;名;6;5;メイ、ミョウ、な;"distinguished, noted, wise, name"
1927;命;8;3;メイ、ミョウ、いのち;"command, decree; destiny, life, "
1928;明;8;4;メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす;"clearness, shining; eyesight; discernment. next (week), tomorrow (morning) "
1929;迷;9;3;メイ、まよ-う;"be perplexed, be in doubt, hesitate, vacillate, go astray, err; be tempted; be infatuated; be misguided"
1933;鳴;14;3;メイ、な-く、な-る、な-らす;"(animals and birds) cry, bark, chirp, etc, "
1936;面;9;3;メン、おも、おもて、つら;"face features; mask, face guard; surface; plane; side, facet; aspect, phase, corner (of a board); page "
1947;目;5;4;モク、[ボク]、め、[ま];"item, division, class; order (of plants or animals)"
1951;問;11;4;モン、と-う、と-い、[とん];"question, problem, subject, discussion "
1953;夜;8;4;ヤ、よ、よる;night
1954;野;11;4;ヤ、の;"field, plain; the Opposition; civilian life; rustic"
1957;役;7;3;ヤク、エキ;"war, campaign, battle, expedition; exacted unpaid labor. office, post, position, appointment, duty; role; use, service, help "
1958;約;9;3;ヤク;"promise, vow; approximately; abridgment"
1960;薬;16;3;ヤク、くすり;medicine
1963;由;5;3;ユ、ユウ、[ユイ]、よし;"depend on"
1971;友;4;5;ユウ、とも;"friend, companion, pal"
1972;有;6;4;ユウ、ウ、あ-る;"possession. being, existence "
1980;遊;12;3;ユウ、[ユ]、あそ-ぶ;"play; enjoy oneself; visit; take a holiday; be out of use, be unemployed, be idle; study under; go on a spree"
1985;優;17;3;ユウ、やさ-しい、すぐ-れる;"actor; superiority; gentleness"
1986;与;3;3;ヨ、あた-える;"give, award, impart, provide, allot, cause (pain or damage) "
1987;予;4;3;ヨ;"I, myself, the writer"
1988;余;7;3;ヨ、あま-る、あま-す;"I, myself, the writer; surplus, other; remainder. over, more than"
1992;用;5;4;ヨウ、もち-いる;"business, work; function; errand; engagement; use, service; expenses; call of nature. for, used for "
1995;洋;9;4;ヨウ;"ocean, sea, channel. foreign, Western, European"
1996;要;9;3;ヨウ、かなめ、い-る;"main point, essence; aim; secret; need"
1997;容;10;3;ヨウ;"form; looks"
2001;葉;12;3;ヨウ、は;"leaf; plane; lobe; counter for flat things"
2002;陽;12;3;ヨウ;"young principle, positive; male; heaven; daytime; sun; top; movement; facing the sun; sunshine; south face of a mountain; north side of a river; pride; positive electrode "
2005;様;14;3;ヨウ、さま;"way, manner, method; kind, class; (to that) effect "
2012;曜;18;4;ヨウ;"day of the week; light; shining"
2016;欲;11;3;ヨク、ほっ-する、ほ-しい;"covetousness; greed, passion, desire, craving, appetite "
2022;来;7;5;ライ、く-る、きた-る、きた-す;"come. since (last month); for (ten days). next (year)"
2024;頼;16;3;ライ、たの-む、たの-もしい、たよ-る;"ask, request, entreat, appeal; entrust to, commission; employ, call in; depend on, have recourse to, trust in "
2026;落;12;3;ラク、お-ちる、お-とす;"fall, drop, come down, go down; drip; collapse, cave in; sink; fail (in exams); be missing; come off, come out; flee; lose popularity; abate; flow into; be inferior; fall unconscious; fade; be captured, be carried away by "
2036;利;7;3;リ、き-く;"advantage, benefit, gain; interest; victory"
2038;理;11;4;リ;"reason, justice, truth, principle"
2045;立;5;4;リツ、[リュウ]、た-つ、た-てる;standing
2050;流;10;3;リュウ、[ル]、なが-れる、なが-す;"current; counter for flags"
2051;留;10;3;リュウ、[ル]、と-める、と-まる;"stop, halt, stand still, pull up; cease, be interrupted, be discontinued; be choked; alight on, perch, roost; be held in position "
2057;旅;10;4;リョ、たび;"journey; go around"
2061;両;6;3;リョウ;"old Japanese coin; both; two; vehicle counter"
2062;良;7;3;リョウ、よ-い;"good, fine"
2063;料;10;4;リョウ;"charge, rate, fee; allowance; materials; measuring"
2074;力;2;4;リョク、リキ、ちから;"strain, bear up, exert one's strength; swagger, bluff, boast. strength. power"
2086;類;18;3;ルイ、たぐ-い;"kind, variety, class, genus; description; parallel case, an equal. resembling"
2088;礼;5;3;レイ、ライ;"salutation, salute, bow, courtesy, propriety, ceremony, thanks, appreciation, remuneration, return present "
2089;冷;7;3;レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます;"cold, cool "
2091;戻;7;3;レイ、もど-す、もど-る;"return, turn back; revert to, resume, return to; be returned; go backward "
2092;例;8;3;レイ、たと-える;"custom, usage, precedent; case, example, parallel, illustration "
2101;列;6;3;レツ;"row, rank, tier, file, column, line; procession; queue "
2106;連;10;3;レン、つら-なる、つら-ねる、つ-れる;"ream; set; party, company, gang, clique; series counter "
2113;路;13;3;ロ、じ;"road, route, path"
2115;老;6;3;ロウ、お-いる、ふ-ける;"aging, old age, old people"
2116;労;7;3;ロウ;"labor, toil, trouble"
2125;六;4;5;ロク、む、む-つ、むっ-つ、[むい];six
2128;論;15;3;ロン;"argument; discourse"
2129;和;8;3;ワ、[オ]、やわ-らぐ、やわ-らげる、なご-む、なご-やか;"sum; peace, harmony, reconciliation, unity "
2130;話;13;5;ワ、はな-す、はなし;"talk, speak, converse; tell; explain "
